,state,date,Unnamed: 0.1.1,zipcode,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,mintemp,maxtemp,avgtemp,totalsnow,sunhour
2701,New York,2021-02-09,32271.44827586207,12173.310344827587,-0.41379310344827586,7.748275862068965,91.58620689655173,5.482758620689655,1025.551724137931,85.75862068965517,-3.5172413793103448,-4.724137931034483,-6.103448275862069,11.03448275862069,-6.103448275862069,-7.241379310344827,-0.41379310344827586,-2.5517241379310347,3.206896551724137,3.917241379310344
1874,Maryland,2021-02-09,32162.103448275862,21021.58620689655,8.137931034482758,0.05517241379310346,78.48275862068965,9.931034482758621,1024.9655172413793,70.89655172413794,2.8275862068965516,-0.5172413793103449,-0.41379310344827586,19.17241379310345,-0.41379310344827586,-4.379310344827586,8.137931034482758,4.482758620689655,0.006896551724137932,5.72758620689655
2110,Missouri,2021-02-09,32173.545454545456,64067.90909090909,-7.818181818181818,1.8272727272727272,88.45454545454545,7.636363636363637,1028.4545454545455,97.0,-9.0,-10.545454545454545,-15.454545454545455,22.90909090909091,-15.454545454545455,-12.727272727272727,-7.818181818181818,-9.454545454545455,1.2363636363636363,3.927272727272727
513,California,2021-02-09,32136.214285714286,92808.41071428571,16.053571428571427,0.0017857142857142859,72.07142857142857,9.982142857142858,1015.3571428571429,44.357142857142854,13.142857142857142,7.839285714285714,12.767857142857142,9.964285714285714,12.767857142857142,10.857142857142858,16.053571428571427,13.625,0.0,7.398214285714284
3823,Wisconsin,2021-02-09,32407.0,53476.5,-14.833333333333334,0.5666666666666667,85.83333333333333,9.166666666666666,1032.6666666666667,33.166666666666664,-19.666666666666668,-21.5,-27.0,18.5,-27.0,-24.0,-14.833333333333334,-19.333333333333332,0.5,8.433333333333332
690,Florida,2021-02-09,36526.31707317073,33402.9837398374,25.16260162601626,1.7959349593495928,82.3739837398374,8.552845528455284,1019.9918699186992,44.8780487804878,23.276422764227643,18.89430894308943,21.975609756097562,13.902439024390244,23.065040650406505,19.03252032520325,25.16260162601626,22.682926829268293,0.0,9.572357723577236
2996,Pennsylvania,2021-02-09,32240.864864864863,18037.324324324323,1.3513513513513513,4.924324324324326,91.56756756756756,6.351351351351352,1025.0,83.27027027027027,-2.081081081081081,-3.108108108108108,-5.027027027027027,13.513513513513514,-5.027027027027027,-6.216216216216216,1.3513513513513513,-0.918918918918919,2.016216216216216,3.8972972972972992
2287,Nevada,2021-02-09,32194.25,89162.375,15.625,0.0,36.25,10.0,1013.125,40.5,11.0,-4.75,10.5,10.875,10.5,6.875,15.625,11.625,0.0,8.012500000000001
2169,Montana,2021-02-09,32238.0,59542.666666666664,-14.333333333333334,1.6666666666666667,94.33333333333333,5.0,1029.6666666666667,91.66666666666667,-19.333333333333332,-19.666666666666668,-22.0,6.0,-22.0,-23.0,-14.333333333333334,-18.666666666666668,1.4000000000000001,4.333333333333333
1992,Minnesota,2021-02-09,32218.0,55442.142857142855,-17.0,0.014285714285714287,89.28571428571429,7.571428571428571,1033.4285714285713,43.142857142857146,-22.857142857142858,-24.285714285714285,-30.571428571428573,17.857142857142858,-30.571428571428573,-26.857142857142858,-17.0,-21.571428571428573,0.0,7.757142857142858
2760,North Carolina,2021-02-09,32222.7,27991.6,14.0,0.1375,82.6,9.4,1024.05,61.9,8.625,5.625,8.0,9.375,8.0,3.525,14.0,9.85,0.0,6.467499999999999
2937,Oregon,2021-02-09,32316.0,97314.2,8.6,0.0,73.4,9.4,1019.4,39.0,4.4,-1.0,3.4,4.0,3.4,0.0,8.6,4.8,0.0,8.38
1402,Hawaii,2021-02-09,32127.0,96764.4,21.8,1.56,71.4,10.0,1016.2,35.8,21.8,15.4,20.4,27.0,20.8,18.8,21.8,21.2,0.0,9.84
2878,Oklahoma,2021-02-09,32282.25,73675.75,-2.5,0.05,73.5,10.0,1022.5,94.75,-3.0,-7.25,-9.5,29.75,-9.5,-4.25,-2.5,-3.25,0.0,4.65
3882,Wyoming,2021-02-09,32464.5,82318.5,-1.5,0.1,72.5,9.5,1020.0,49.5,-7.5,-13.5,-11.0,16.0,-11.0,-13.0,-1.5,-6.0,0.1,7.1
2761,North Carolina,2021-02-10,32942.7,27991.6,9.075,0.017499999999999998,82.825,9.3,1024.675,59.95,7.225,4.5,5.525,14.575,5.525,5.275,9.075,7.275,0.0,6.1499999999999995
